epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3869.44,1.24594,1.10662,1.22814,0.32762,0.26788,0.26782,0.15639,2.06668,2.78347,2.13069,0.000462065,0.000462065,0.000462065
61,3932.88,1.25652,1.1881,1.28249,0.33536,0.26343,0.26593,0.15489,2.10857,2.7609,2.21885,0.000451066,0.000451066,0.000451066
62,3995.06,1.19655,1.13377,1.23236,0.36185,0.27926,0.29845,0.17321,2.15561,2.85795,2.22934,0.000440067,0.000440067,0.000440067
63,4058.86,1.23708,1.04861,1.22297,0.35474,0.32219,0.30582,0.17229,2.1195,2.88811,2.14538,0.000429068,0.000429068,0.000429068
64,4127.78,1.14936,1.07369,1.20818,0.37805,0.30224,0.31356,0.17285,2.14505,2.82074,2.16584,0.000418069,0.000418069,0.000418069
65,4196.86,1.17726,1.05237,1.24308,0.3652,0.29704,0.31254,0.16909,2.16907,2.80869,2.15414,0.00040707,0.00040707,0.00040707
66,4266.17,1.19572,1.0549,1.20747,0.37766,0.30793,0.29823,0.16056,2.08049,2.84006,2.05707,0.000396071,0.000396071,0.000396071
67,4336.99,1.19989,1.13987,1.23224,0.34384,0.33407,0.30185,0.16199,2.09271,2.95298,2.09095,0.000385073,0.000385073,0.000385073
68,4406.7,1.17515,1.08053,1.2511,0.32273,0.3314,0.28492,0.15545,2.11254,2.86298,2.11601,0.000374074,0.000374074,0.000374074
69,4478.81,1.16226,1.01278,1.17583,0.34038,0.32485,0.28728,0.15526,2.08112,2.76217,2.09894,0.000363075,0.000363075,0.000363075
70,4565.56,1.18689,1.03083,1.20061,0.33713,0.33333,0.2977,0.15857,2.10299,2.73757,2.08574,0.000352076,0.000352076,0.000352076
71,4638.77,1.17071,1.03354,1.20327,0.36184,0.29455,0.30329,0.15666,1.98122,2.72214,1.98021,0.000341077,0.000341077,0.000341077
72,4711.48,1.15287,0.98167,1.17103,0.34821,0.35434,0.30955,0.16197,1.89805,2.63381,1.93711,0.000330078,0.000330078,0.000330078
73,4785.39,1.21974,1.10269,1.24547,0.37383,0.34828,0.32046,0.16479,1.9097,2.6198,1.92419,0.000319079,0.000319079,0.000319079
74,4861.16,1.16405,1.04238,1.18808,0.36859,0.35446,0.32191,0.16415,1.94588,2.51035,1.97486,0.00030808,0.00030808,0.00030808
75,4943.36,1.15493,1.00173,1.1717,0.3519,0.35344,0.32365,0.16921,1.94165,2.59064,1.97211,0.000297081,0.000297081,0.000297081
76,5018.51,1.16088,1.08378,1.22352,0.37215,0.35313,0.32452,0.16909,1.96197,2.47438,1.99901,0.000286083,0.000286083,0.000286083
77,5089.8,1.15125,1.07605,1.20425,0.37285,0.33186,0.32129,0.16612,1.98847,2.4461,2.03046,0.000275084,0.000275084,0.000275084
78,5168.95,1.08363,0.97194,1.15377,0.35262,0.38465,0.32774,0.1679,2.05346,2.48568,2.02996,0.000264085,0.000264085,0.000264085
79,5242.48,1.11083,0.99307,1.18692,0.36559,0.38593,0.33886,0.17188,2.06281,2.40541,2.04871,0.000253086,0.000253086,0.000253086
80,5317.17,1.11414,0.99331,1.17677,0.35771,0.38239,0.34114,0.17295,2.00969,2.42954,2.01602,0.000242087,0.000242087,0.000242087
81,5388.88,1.07885,0.9729,1.16016,0.34516,0.38626,0.33905,0.17226,2.01438,2.4606,2.01615,0.000231088,0.000231088,0.000231088
82,5463.27,1.11601,1.01693,1.18805,0.37618,0.40081,0.34532,0.17516,2.00194,2.38896,2.04834,0.000220089,0.000220089,0.000220089
83,5541.9,1.15077,0.97941,1.14469,0.37645,0.37697,0.34311,0.17521,2.0064,2.39656,2.06569,0.00020909,0.00020909,0.00020909
84,5618.66,1.10574,1.01561,1.18711,0.72414,0.35596,0.34493,0.1782,2.01962,2.38617,2.07793,0.000198091,0.000198091,0.000198091
85,5684.95,1.08438,0.94842,1.14475,0.75933,0.36568,0.35244,0.18364,2.06004,2.41001,2.09432,0.000187092,0.000187092,0.000187092
86,5751.85,1.10152,0.97686,1.15189,0.39349,0.35822,0.35335,0.18295,2.05615,2.41282,2.07439,0.000176094,0.000176094,0.000176094
87,5820.98,1.13367,0.97855,1.18132,0.40186,0.34707,0.35456,0.18558,2.04854,2.45646,2.0636,0.000165095,0.000165095,0.000165095
88,5888.5,1.09708,0.93771,1.1698,0.38167,0.3483,0.3528,0.18512,2.05682,2.44388,2.05999,0.000154096,0.000154096,0.000154096
89,5952.03,1.12279,0.93629,1.17258,0.37872,0.35206,0.36192,0.19051,2.02912,2.44471,2.03496,0.000143097,0.000143097,0.000143097
90,6017.66,1.10357,0.98216,1.19565,0.38988,0.32549,0.3513,0.18638,2.0683,2.52261,2.03846,0.000132098,0.000132098,0.000132098
91,6082.98,1.08601,1.01274,1.17491,0.3631,0.36081,0.34961,0.18527,2.09033,2.55327,2.04596,0.000121099,0.000121099,0.000121099
92,6147.5,1.07608,0.99524,1.16613,0.36423,0.38943,0.34637,0.18052,2.11664,2.595,2.07207,0.0001101,0.0001101,0.0001101
93,6212.13,1.11457,1.01873,1.17588,0.35182,0.3859,0.34297,0.17839,2.10811,2.60622,2.08322,9.91012e-05,9.91012e-05,9.91012e-05
94,6274.11,1.082,1.06319,1.20799,0.35321,0.35313,0.33595,0.17373,2.13858,2.7093,2.10664,8.81023e-05,8.81023e-05,8.81023e-05
95,6335.8,1.0697,1.00596,1.14664,0.35611,0.35313,0.33432,0.16994,2.13025,2.72909,2.11544,7.71034e-05,7.71034e-05,7.71034e-05
96,6399.49,1.06956,1.02947,1.16336,0.32579,0.3664,0.32245,0.16534,2.13507,2.77173,2.1105,6.61045e-05,6.61045e-05,6.61045e-05
97,6467.82,1.05159,1.00552,1.16046,0.70096,0.3401,0.32478,0.16694,2.13983,2.71035,2.11128,5.51056e-05,5.51056e-05,5.51056e-05
98,6533.67,1.05414,0.97447,1.14807,0.73613,0.30207,0.30979,0.16033,2.15735,2.68229,2.11255,4.41067e-05,4.41067e-05,4.41067e-05
99,6597.69,1.07065,0.97157,1.1717,0.7346,0.29992,0.30884,0.16094,2.15913,2.67689,2.1058,3.31078e-05,3.31078e-05,3.31078e-05
100,6659.25,1.04863,0.99353,1.17753,0.33023,0.34424,0.30942,0.16091,2.14128,2.71617,2.09832,2.21089e-05,2.21089e-05,2.21089e-05
