epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7918.36,0.94532,0.82842,1.09342,0.67765,0.34074,0.29991,0.15346,2.05949,2.54699,2.24888,0.000406,0.000406,0.000406
62,8043.33,0.95654,0.80131,1.09459,0.6538,0.32749,0.30869,0.15225,2.08858,2.52331,2.21561,0.0003961,0.0003961,0.0003961
63,8168.85,0.89052,0.74439,1.06473,0.66523,0.31598,0.31594,0.15731,2.06848,2.54472,2.22781,0.0003862,0.0003862,0.0003862
64,8293.59,0.88938,0.72056,1.05343,0.66092,0.29021,0.27797,0.13775,2.10085,2.61333,2.27432,0.0003763,0.0003763,0.0003763
65,8418.52,0.92901,0.77308,1.08051,0.66133,0.28952,0.26715,0.13196,2.07652,2.75917,2.25868,0.0003664,0.0003664,0.0003664
66,8542.94,0.89652,0.73126,1.05775,0.61786,0.32952,0.2762,0.14172,2.1062,2.80405,2.27621,0.0003565,0.0003565,0.0003565
67,8668.51,0.94051,0.76866,1.07533,0.70713,0.34032,0.30577,0.15296,2.07776,2.62939,2.24825,0.0003466,0.0003466,0.0003466
68,8793.77,0.89169,0.73398,1.05298,0.66054,0.34561,0.2825,0.14292,1.99344,2.57799,2.17289,0.0003367,0.0003367,0.0003367
69,8918.84,0.91646,0.7717,1.08335,0.30441,0.3737,0.26667,0.13162,1.90389,2.56352,2.09253,0.0003268,0.0003268,0.0003268
70,9043.88,0.87966,0.72386,1.06482,0.67226,0.39299,0.30528,0.15427,1.88503,2.40051,2.07313,0.0003169,0.0003169,0.0003169
71,9168.91,0.88172,0.75533,1.07303,0.7014,0.38984,0.32641,0.16073,1.93792,2.32087,2.13767,0.000307,0.000307,0.000307
72,9294.22,0.92261,0.81166,1.101,0.67327,0.40104,0.32849,0.16487,1.95405,2.33584,2.15059,0.0002971,0.0002971,0.0002971
73,9419.16,0.88407,0.75486,1.06506,0.7101,0.35958,0.33282,0.16685,1.96643,2.37915,2.16299,0.0002872,0.0002872,0.0002872
74,9543.71,0.90516,0.75869,1.08704,0.71313,0.33122,0.30382,0.15912,1.92599,2.46183,2.12568,0.0002773,0.0002773,0.0002773
75,9668.77,0.88673,0.72386,1.06034,0.629,0.35429,0.25429,0.12685,1.92245,2.61902,2.15879,0.0002674,0.0002674,0.0002674
76,9793.65,0.88299,0.73296,1.06492,0.63808,0.33566,0.25092,0.12578,1.91516,2.60737,2.11179,0.0002575,0.0002575,0.0002575
77,9918.11,0.86807,0.70935,1.05147,0.61615,0.37386,0.26989,0.12628,1.88145,2.54944,2.07047,0.0002476,0.0002476,0.0002476
78,10043.2,0.9114,0.75561,1.07625,0.65264,0.33206,0.2734,0.13424,1.8851,2.50582,2.07997,0.0002377,0.0002377,0.0002377
79,10168.5,0.84695,0.7001,1.04668,0.32261,0.34709,0.26336,0.13132,1.92123,2.51228,2.11249,0.0002278,0.0002278,0.0002278
80,10293.3,0.89044,0.70713,1.05766,0.32604,0.35933,0.27231,0.13719,1.99228,2.4967,2.1757,0.0002179,0.0002179,0.0002179
81,10417.6,0.90806,0.75264,1.07083,0.34865,0.38446,0.29463,0.14586,2.07137,2.50941,2.25111,0.000208,0.000208,0.000208
82,10543.1,0.86453,0.67727,1.03255,0.34607,0.41061,0.30988,0.14895,2.07508,2.45328,2.2695,0.0001981,0.0001981,0.0001981
